;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;T2M_MAX;T2M_MIN;T2MDEW;T2M;ALLSKY_SFC_SW_DWN;ALLSKY_SFC_SW_UP;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_LW_UP;PS;WS2M;PRECTOTCORR
0;0;0;0;0;20220101;25.42;16.85;17.4;20.49;3.79;0.49;9.16;10.15;93.56;1.05;0.39
1;1;1;1;1;20220102;25.45;17.46;17.65;20.7;4.57;0.59;9.04;10.33;93.5;1.0;0.44
2;2;2;2;2;20220103;24.46;18.14;17.77;20.5;3.52;0.45;9.13;10.38;93.46;0.98;0.71
3;3;3;3;3;20220104;25.99;17.63;18.47;21.19;4.38;0.56;9.17;10.28;93.42;0.7;0.16
4;4;4;4;4;20220105;26.51;17.27;18.98;21.56;5.17;0.67;9.12;10.23;93.39;0.46;0.07
5;5;5;5;5;20220106;26.4;17.76;18.41;21.5;5.08;0.66;9.13;10.39;93.46;0.46;0.02
6;6;6;6;6;20220107;26.88;16.71;18.29;21.37;5.67;0.73;8.93;10.54;93.52;0.56;0.07
7;7;7;7;7;20220108;26.75;15.9;17.67;21.13;5.93;0.76;8.63;10.49;93.48;0.44;0.02
8;8;8;8;8;20220109;26.48;15.3;17.99;20.65;5.11;0.66;8.87;10.39;93.4;0.41;0.32
9;9;9;9;9;20220110;26.6;16.78;18.52;21.21;5.32;0.68;9.02;10.32;93.46;0.45;0.2
10;10;10;10;10;20220111;25.15;15.05;16.03;19.38;5.95;0.77;8.24;10.38;93.55;0.75;0.01
11;11;11;11;11;20220112;25.85;14.44;16.68;19.59;5.42;0.7;8.52;9.98;93.54;0.63;0.03
12;12;12;12;12;20220113;24.62;14.84;15.63;18.82;5.98;0.78;8.09;10.12;93.58;0.81;0.03
13;13;13;13;13;20220114;24.87;14.19;15.77;18.76;5.45;0.71;8.36;10.14;93.55;0.76;0.02
14;14;14;14;14;20220115;24.79;12.91;15.15;18.58;6.3;0.84;7.97;10.29;93.54;0.54;0.0
15;15;15;15;15;20220116;26.15;12.79;16.54;19.37;6.05;0.78;8.27;10.41;93.51;0.65;0.04
16;16;16;16;16;20220117;26.13;15.61;17.46;20.35;5.86;0.76;8.69;10.38;93.51;0.66;0.18
17;17;17;17;17;20220118;26.06;15.91;17.13;20.14;5.62;0.73;8.53;10.32;93.45;0.66;0.3
18;18;18;18;18;20220119;25.65;15.08;16.38;19.72;5.91;0.76;8.41;10.31;93.34;0.77;0.06
19;19;19;19;19;20220120;25.8;15.09;16.88;20.05;5.72;0.73;8.65;10.5;93.3;0.52;0.04
20;20;20;20;20;20220121;26.31;14.77;16.6;20.33;6.09;0.78;8.44;10.43;93.35;0.43;0.01
21;21;21;21;21;20220122;26.82;14.8;17.38;20.66;6.04;0.76;8.59;10.45;93.24;0.44;0.0
22;22;22;22;22;20220123;27.05;16.49;18.47;21.49;5.51;0.71;9.09;10.55;93.25;0.38;0.0
23;23;23;23;23;20220124;27.64;17.0;19.08;21.88;5.21;0.68;9.25;10.53;93.23;0.44;0.0
24;24;24;24;24;20220125;27.37;17.49;18.68;21.85;4.79;0.62;9.25;10.36;93.26;0.45;0.0
25;25;25;25;25;20220126;27.44;16.41;17.7;21.44;5.75;0.73;8.57;10.33;93.3;0.53;0.0
26;26;26;26;26;20220127;26.61;15.3;16.52;20.6;6.11;0.79;8.38;10.4;93.26;0.59;0.0
